3, B2aik3anr4acjqrwy6n8/S01e2e3aekr4ciqr5cir6ci7c, 9, 9, 27, 2bo2$obo!
3, B2-ek3ak4eknq5inr6ae8/S02in3-ckqy4acerwyz5ainy6n, 8, 8, 27, 2bo2$obo!
3, B2-a3aknr4eijz5anry6ein/S02k3ay4jrz5q, 7, 7, 27, 2bo2$obo!
3, B2-ak3akn4ai5aqy6n7c8/S02-kn3knr4qrw5jqy, 6, 6, 27, 2bo2$obo!
3, B2-a3aknr4w5anqy/S03qr4ajq5j, 5, 5, 27, 2bo2$obo!
3, B2-ae3aeijk4jkrw5ik6c/S02c4kz5a6e, 4, 4, 27, obo2$o!
3, B2-ak3aiknr4aw5kn8/S02ikn3-eqry4at6e, 3, 3, 27, 2bo2$obo!
3, B2cek3ijqy4cijqry5-ey6ci7c8/S02cen3aijry4acqz5iknqy67e8, 2, 2, 27, bo$o$2bo!
3, B2-ae3aejnr4ejn5y6aci7c/S03q4eknq5nqy6k7c, 1, 1, 27, obo2$o!
4, B2ac3kqry4ejn5k6a/S1e2n3aikry4aqry5nr6ace7c, 14, 14, 28, 2bo$2bo$obo!
3, B2ain3aeknq4eknqryz5iqy6ek7c/S02e3air4jrt5acir6ei7c, 13, 13, 28, 2bo2$obo!
3, B2-ek3ak4ae5n/S02cei3-akqy4qrw5an, 12, 12, 28, 2bo2$obo!
3, B2ain3-eijq4cijqrz5i6k7c8/S02ai3ackr4jktwy5ackr8, 11, 11, 28, 2bo2$obo!
3, B2ain3acr4int5acin6cek7e/S01e2ei3eqy4aeijqy5-eijk6cik, 10, 10, 28, obo3$2bo!
3, B2-an3aejq4jrwy5ac6a/S013eik4jnry5cinry6ac7c, 9, 9, 28, 2bo$obo!
3, B2-ai3kn4jy5i/S04w6k, 8, 8, 28, 2bo2$2bo2$o!
3, B2cek3n4y/S03n4i, 7, 7, 28, 3bo2$o2bo!
3, B2cek3e4a5jn6c/S03ci, 6, 6, 28, o2$bobo!
3, B2ce3ey4cir5k6a/S02an3-inqy4-ijwz5cejny6k7c, 5, 5, 28, o$bobo!
3, B2cek3enqr4qz5ijk6cn/S03ae4w6i, 4, 4, 28, o2$4bo2$4bo!
3, B2ekn3eijkq4cirz5cejnr6aci7c/S02acn3ai4acijrw5kny6-kn7c8, 3, 3, 28, 2bobo2$o!
3, B2ckn3-jny4ajkqy5aceqy6n/S01e2ac3cqry4-ceijy5-ceny6ace7c, 2, 2, 28, 3bo$o$2bo!
3, B2cen3iy4jtwy5nr6kn78/S04cz5jn6ce7c, 1, 1, 28, 4bo$obo!
3, B2ain3acr4aqry5aijq6n8/S02cei3aceir4jrwy5ciknr6ae7c8, 14, 14, 29, 2bo2$obo!
3, B2ain3ack4ikrw5ir6ck8/S02ae3-eikq4cqty5acky6cei7c, 13, 13, 29, 2bo2$obo!
3, B2ain3acqry4eijk5a7c8/S02-ck3aky4ac5in6ei, 12, 12, 29, 2bo2$obo!
3, B2-ek3ak4jqyz5inq6ce/S02ce3-cenq4aciwy5aeknq6c, 11, 11, 29, 2bo2$obo!
3, B2ain3acnq4aiqr5aci6ekn7c8/S02-ek3ijnr4eirty5jry6ekn8, 10, 10, 29, obo2$o!
3, B2-ek3ak4jkqz5inq6e/S02e3ijr4iw5anr7c, 9, 9, 29, 2bo2$obo!
3, B2-ek3ak4kqtw5cnq6en7c/S02e3ijnr4acrtw5ain6kn7c, 8, 8, 29, 2bo2$obo!
3, B2-ek3ak4aqty5knq6e7c/S02ein3ijnr4rwy5any6cn, 7, 7, 29, 2bo2$obo!
3, B2-an3ary4j5cijqr6a7c/S02-ai3-aiq4cijqz5cky6aik78, 6, 6, 29, 2bo2$obo!
3, B2cei3ajnr4cjnqrwz5kqry6an8/S01c2-an3-aeqy4-aez5aijkq6ik7e8, 5, 5, 29, 2bo2$obo!
3, B2ce3eikqr4cijnq5aky6n8/S01e2ek3iqry4ceiqty5aijk6aek7c, 4, 4, 29, 2bo2$obo!
3, B2ce3-ekny4nqrty5-ejky6c/S02i, 3, 3, 29, o2$o2$2bo!
3, B2ein3acinq4-qr5aijkn6ain7/S02cei3eqy4ajqwyz5cqr6in8, 2, 2, 29, o3$3bo2$5bo!
3, B2-ak3ay4eiknry5aiqr6cei7e8/S01e2ack3ceiry4-ez5y6ik, 1, 1, 29, 2bo2$o$3bo!
4, B2aci3cekny4ei5ackr6ck7/S012ac3cnr4ikny5jr, 15, 15, 30, ob2o$bo!
3, B2ain3aenr4ejqr5i6e7c8/S01e2e3eir4jkr5k78, 14, 14, 30, 2bo2$obo!
3, B2-ek3ak4ijnqwz5cnr6ce8/S02ek3ijnry4awy5aejny7c, 13, 13, 30, 2bo2$obo!
3, B2ain3ack4aeqrw5aijq6en/S02cei3aceir4rwy5cir6ae7c8, 12, 12, 30, 2bo2$obo!
3, B2ain3acr4aeqrwy5aiq6an/S02cei3acir4jkry5ciknr6ae7c8, 11, 11, 30, 2bo2$obo!
3, B2-ei4aeijknq5ij6n7c/S1e2ck3jkqry4aijryz5cy6c7e, 10, 10, 30, 3bo2$obo!
